pair_idx,fp_size,num_collisions,tanimoto_exact,tanimoto_compressed,tanimoto_compressed_difference
153,2048,1,0.1885,0.1983,0.0098
153,4096,1,0.1885,0.1983,0.0098
154,512,6,0.1982,0.2315,0.0333
154,1024,3,0.1982,0.2202,0.0220
154,2048,1,0.1982,0.1982,0.0000
154,4096,0,0.1982,0.1982,0.0000
155,512,4,0.2254,0.2609,0.0355
155,1024,1,0.2254,0.2340,0.0087
155,2048,0,0.2254,0.2254,0.0000
155,4096,0,0.2254,0.2254,0.0000
156,512,5,0.1157,0.1315,0.0157
156,1024,1,0.1157,0.1157,0.0000
156,2048,1,0.1157,0.1157,0.0000
156,4096,0,0.1157,0.1157,0.0000
157,512,4,0.1405,0.1695,0.0290
157,1024,2,0.1405,0.1597,0.0192
